ITEM_ID,PRICE,CATEGORY_L1,VEGETARIAN,PESKETARIAN,GLUTEN_FREE,DAIRY_FREE,PRODUCT_DESCRIPTION,RESTAURANT_ID
Good Fried Chicken Sandwich,5,no,no,no,no,no,sandiwches/wraps,Hawk's Nest
Deluxe Good Fried Chicken Sandwich,5,no,no,no,no,no,sandiwches/wraps,Hawk's Nest
Red Dragon Chicken Sandwich,5,no,no,no,no,no,sandwiches/wraps,Hawk's Nest
Good Fried Chicken Wrap,5,no,no,no,no,no,sandwiches/wraps,Hawk's Nest
Good Chicken Ceaser Wrap,5,no,no,no,no,no,sandwiches/wraps,Hawk's Nest
Good Fried Tenders,5,no,no,no,no,no,american,Hawk's Nest
Vegan Tenders,5,yes,yes,yes,no,no,american,Hawk's Nest
Good Fried Bites,5,no,no,no,no,no,american,Hawk's Nest
Cauliflower Bites,5,yes,yes,yes,no,no,american,Hawk's Nest
Fries,5,yes,yes,yes,no,yes,american,Hawk's Nest
Mozzarella Sticks,5,no,yes,yes,no,no,italian-american,Hawk's Nest
Korean BBQ (Bowl/Burrito/Gyro/Salad/Kimbap),5,no,no,no,no,no,korean ,Hawk's Nest
"Sweet & Spicy Korean Chicken (Bowl/Burrito/Gyro/Salad, Kimbap)",5,no,no,no,no,no,korean ,Hawk's Nest
Spicy Korean Pork (Bowl/Burrito/Gyro/Salad/Kimbap),5,no,no,no,no,no,korean ,Hawk's Nest
Ginger Scallion Impossible (Bowl/Burrito/Gyro/Salad/Kimbap),5,yes,yes,yes,no,yes,korean ,Hawk's Nest
Falaffel (Bowl/Burrito/Gyro/Salad/Kimbap),5,yes,yes,yes,no,yes,korean ,Hawk's Nest
Hummus & Pita,5,no,yes,yes,no,no,korean ,Hawk's Nest
General Tso Chicken (base),5,no,no,no,no,no,"asian, chinese-american",Hawk's Nest
Teriyaki Chicken (base),5,no,no,no,no,no,"asian, japanese-american",Hawk's Nest
Firecracker Shrimp (base),5,no,no,yes,no,no,"asian, chiense-american",Hawk's Nest
Spicy Szechuan Beef (base),5,no,no,no,no,no,"asian, chinese-american",Hawk's Nest
Chicken Dumplings,5,no,no,no,no,no,asian,Hawk's Nest
Vegetable Egg Rolls,5,no,yes,yes,no,no,"asian, chinese-american",Hawk's Nest
Carne Asada (Tacos/Burritos/Taco Bowls/Taco Salads/Quesadillas/Rice Bowls/Nachos),5,no,no,no,no,no,mexican,Hawk's Nest
Pork Carnitas (Tacos/Burritos/Taco Bowls/Taco Salads/Quesadillas/Rice Bowls/Nachos),5,no,no,no,no,no,mexican,Hawk's Nest
Buffalo Chicken (Tacos/Burritos/Taco Bowls/Taco Salads/Quesadillas/Rice Bowls/Nachos),5,no,no,no,no,no,mexican,Hawk's Nest
Grilled Chicken (Tacos/Burritos/Taco Bowls/Taco Salads/Quesadillas/Rice Bowls/Nachos),5,no,no,no,no,no,mexican,Hawk's Nest
